PDV,Latitud Facturacion,Longitud Facturacion,Latitud Check in ,Longitud Check in ,Latitud FA,Longitud FA
AB AVILA AHOME,25.7866635,-108.9889375,25.7873999,-108.994764,, 
AB AVILA AHOME,25.7866635,-108.9889375,25.7653649,-108.9949615,, 
AB AVILA AHOME,25.7866635,-108.9889375,,,, 
AB AVILA YARDA,25.778339,-108.983551,25.8210159,-109.002248,, 
AB AVILA YARDA,25.778339,-108.983551,25.768623,-108.9957511,, 
AB AVILA YARDA,25.778339,-108.983551,,,, 
CASA VARGAS AYOTLA,19.324569,-98.944576,,,, 
NEGRETE SUBODEGA,21.983737,-99.014909,22.0255325,-99.0261482,, 
NEGRETE SUBODEGA,21.983737,-99.014909,21.9955816,-99.0248001,, 
PG00351|BENAVIDES SUC. ANAHUAC,25.739584,-100.30241,25.7453291,-100.3023621,, 
PG00351|BENAVIDES SUC. ANAHUAC,25.739584,-100.30241,25.74537,-100.3016656,, 
PG00354|FARMACIAS DEL AHORRO SUC. SAN MATEO PUENTE,19.28479533,-99.53053,19.2763991,-99.5907746,, 
PG00354|FARMACIAS DEL AHORRO SUC. SAN MATEO PUENTE,19.28479533,-99.53053,,,, 
PG00501|CHEDRAUI SUC. MATAMOROS II,25.836282,-97.499546,25.8357136,-97.5006992,, 
PG00606|FARMACIAS DEL AHORRO SUC. ALAMEDA,18.9628245,-100.390006,20.5878032,-100.3900212,, 
PG00606|FARMACIAS DEL AHORRO SUC. ALAMEDA,18.9628245,-100.390006,,,, 
PG00645|FARMACIAS DEL AHORRO SUC. LOPEZ RAYON,19.288007,-99.652765,19.2908297,-99.6583484,, 
PG00805|BENAVIDES SUC. 5 DE FEBRERO,24.02391825,-104.6674053,,,, 
PG01315|WALMART SUC. TAXQUEÑA,19.34489436,-99.18191682,19.3821212,-99.1932579,, 
PG01512|SORIANA HIPER SUC. HAMBURGO,25.594154,-103.503253,25.6092795,-103.4915461,, 
PG01778|BENAVIDES SUC. BLVD. MATEOS,29.330218,-100.944434,,,, 
PG02014|FARMACIAS GUADALAJARA SUC. COLIMA MADERO,19.24195325,-103.7263731,,,, 
PG02093|BODEGA AURRERA SUC. CABEZA DE JUAREZ,19.37776514,-99.05792286,19.3411111,-99.0631709,, 
PG02093|BODEGA AURRERA SUC. CABEZA DE JUAREZ,19.37776514,-99.05792286,19.3726393,-99.0572803,, 
PG02093|BODEGA AURRERA SUC. CABEZA DE JUAREZ,19.37776514,-99.05792286,,,, 
PG02306|FARMACIAS MODERNA SUC. ZONA DORADA,23.24193914,-106.4477217,,,, 
PG02413|WALMART SUC. CARRETERA 57,22.137315,-101.002664,22.1380511,-100.9357364,, 
PG02413|WALMART SUC. CARRETERA 57,22.137315,-101.002664,22.1380662,-100.9357432,, 
PG02533|MERCADO SORIANA SUC. CENTER PLAZA ARAGON,19.464759,-99.05685078,19.5162362,-99.0351418,, 
PG02533|MERCADO SORIANA SUC. CENTER PLAZA ARAGON,19.464759,-99.05685078,19.5160516,-99.0349064,, 
PG02656|CHEDRAUI SUC. IZTAPALAPA,19.35906,-99.063319,,,, 
PG02948|FARMACIAS GUADALAJARA SUC. COLIMA MAESTROS,19.2523125,-103.7225246,,,, 
PG02965|FARMACIAS DEL AHORRO SUC. AV. MEXICO,19.310179,-99.2302761,,,, 
PG03107|CHEDRAUI SUC. MADERO,22.254012,-97.854088,22.2152758,-97.8606416,, 
PG03109|FARMACIAS MODERNA SUC. CENTRAL CAMIONERA,23.225774,-106.420471,23.2541458,-106.4377506,, 
PG03109|FARMACIAS MODERNA SUC. CENTRAL CAMIONERA,23.225774,-106.420471,,,, 
PG03221|BODEGA AURRERA SUC. LOS ANGELES IZTAPALAPA,19.34591,-99.06917475,19.3369017,-99.06438494,, 
PG03221|BODEGA AURRERA SUC. LOS ANGELES IZTAPALAPA,19.34591,-99.06917475,,,, 
PG03227|LA COMER SUC. LAS TORRES,19.35305917,-99.01236333,19.3437562,-99.033691,, 
PG03227|LA COMER SUC. LAS TORRES,19.35305917,-99.01236333,19.3428915,-99.0451686,, 
PG03227|LA COMER SUC. LAS TORRES,19.35305917,-99.01236333,,,, 
PG03230|BODEGA AURRERA SUC. IZTAPALAPA,19.354857,-99.103939,,,, 
PG03307|FARMACIAS GUADALAJARA SUC. COLIMA LOMAS,19.2527975,-103.7129861,19.2582042,-103.7109978,, 
PG03307|FARMACIAS GUADALAJARA SUC. COLIMA LOMAS,19.2527975,-103.7129861,19.2567765,-103.7106358,, 
PG03309|FARMACIAS DEL AHORRO SUC. FELIX CUEVAS,19.37200538,-99.171118,,,, 
PG03359|BENAVIDES SUC. URDINOLA,25.4155923,-100.9865733,25.4713856,-100.9728641,, 
PG03508|FARMACIAS DEL AHORRO SUC. SANTIAGO CENTRO,19.18074,-99.468743,19.2277594,-99.633623,, 
PG03508|FARMACIAS DEL AHORRO SUC. SANTIAGO CENTRO,19.18074,-99.468743,19.2282168,-99.6325027,, 
PG03508|FARMACIAS DEL AHORRO SUC. SANTIAGO CENTRO,19.18074,-99.468743,,,, 
PG03711|FARMACIAS DEL AHORRO SUC. LAS FLORES,19.652293,-99.093669,,,, 
PG03998|FARMACIAS GUADALAJARA SUC. SAN LUIS POTOSI JARDINE,22.1448408,-101.0060577,22.1471876,-101.0133805,, 
PG04073|SORIANA HIPER SUC. CIGARRERA,21.4914786,-104.883226,21.4975025,-104.8842167,21.49767764,-104.8842654
PG04073|SORIANA HIPER SUC. CIGARRERA,21.4914786,-104.883226,21.4971724,-104.8833838,21.49767764,-104.8842654
PG04073|SORIANA HIPER SUC. CIGARRERA,21.4914786,-104.883226,21.4975258,-104.8841974,21.49767764,-104.8842654
PG04073|SORIANA HIPER SUC. CIGARRERA,21.4914786,-104.883226,21.4974613,-104.8842133,21.49767764,-104.8842654
PG04178|WALMART SUC. TEPIC,21.491594,-104.8811344,,,, 
PG04184|FARMACIAS DEL AHORRO SUC. BARRANCA,19.362011,-99.182785,,,, 
PG04186|FARMACIAS MODERNA SUC. CLINICA DEL MAR,23.238483,-106.43036,23.24764732,-106.4307139,, 
PG04186|FARMACIAS MODERNA SUC. CLINICA DEL MAR,23.238483,-106.43036,23.22576427,-106.3956958,, 
PG04189|BENAVIDES SUC. NAYARABASTOS,21.474731,-104.859803,21.4884715,-104.8803067,, 
PG04224|FARMACIAS GUADALAJARA SUC. TOLUCA ISIDRO FABELA,19.287068,-99.641772,19.2761932,-99.6455658,, 
PG04830|BODEGA AURRERA SUC. FUENTES DEL VALLE,19.628823,-99.140608,19.6365741,-99.0971787,, 
PG05064|FARMACIAS DEL AHORRO SUC. MATIAS ROMERO,19.381661,-99.171631,19.3681966,-99.1768306,, 
PG05064|FARMACIAS DEL AHORRO SUC. MATIAS ROMERO,19.381661,-99.171631,19.3586987,-99.0929414,, 
PG05064|FARMACIAS DEL AHORRO SUC. MATIAS ROMERO,19.381661,-99.171631,19.3748063,-99.1632256,, 
PG05064|FARMACIAS DEL AHORRO SUC. MATIAS ROMERO,19.381661,-99.171631,19.3747589,-99.1629781,, 
PG05064|FARMACIAS DEL AHORRO SUC. MATIAS ROMERO,19.381661,-99.171631,,,, 
PG05143|FARMACIAS MODERNA SUC. ALEMAN,23.196238,-106.420885,23.2253993,-106.4205416,, 
PG05143|FARMACIAS MODERNA SUC. ALEMAN,23.196238,-106.420885,,,, 
PG05179|BENAVIDES SUC. MIRADOR,28.644404,-106.1123593,28.6443247,-106.1124429,, 
PG05713|FARMACIAS DEL AHORRO SUC. JUAREZ,19.2809215,-99.6407525,,,, 
PG05732|CHEDRAUI SELECTO SUC. INTERLOMAS,19.4051317,-99.2722083,,,, 
PG06033|FARMACIAS MODERNA SUC. POLIMEDICA,23.24264022,-106.4412975,,,, 
PG06111|HEB SUC. NUEVO LAREDO,27.461788,-99.510868,27.4576517,-99.5134489,, 
PG06345|WALMART SUC. FELIX CUEVAS,19.372456,-99.176259,,,, 
PG06413|FARMACIAS MODERNA SUC. JABALIES,23.253146,-106.409987,23.2238147,-106.4157429,, 
PG06413|FARMACIAS MODERNA SUC. JABALIES,23.253146,-106.409987,,,, 
PG06578|WALMART SUC. COLIMA NORTE,19.25630695,-103.7212846,19.2822303,-103.7313545,, 
PG06608|BENAVIDES SUC. PINOS,21.479761,-104.89207,21.5261091,-104.8878122,, 
PG06608|BENAVIDES SUC. PINOS,21.479761,-104.89207,21.4733709,-104.8898179,, 
PG06608|BENAVIDES SUC. PINOS,21.479761,-104.89207,,,, 
